commit	message	words	words %
674c1d0b11d60c42c3c4a5be7c206d62fddefe9a	Version du 16/06/1876	20259	56.71
76f27dabfd19beb71f771c523f709cfbeec15dce	Version du 04/02/1915	5816	16.28
ff23b43f5c3653c58c5846f058bb0b579e5512a7	Version du 18/11/1943	3917	10.96
68795a158eca753f4726045dcf7bd53512b16f4e	Version du 06/07/1848	2233	6.25
4abd3c04ac98df4f9e54abee6010057957932425	Version du 22/03/1852	1157	3.24
511f84ff6e83b9783b1a56232501448b331ab337	Version du 22/11/1945	604	1.69
44d644eb6bdbabc4f66170c95f5e82f1194976bb	Version du 21/01/1959	541	1.51
bff6980f6c06bdadfa388b04167495a93e0d0a33	Version du 26/07/1873	337	0.94
30f55498742756a0a6452363f32731cc5bb47e9c	Version du 17/05/1871	166	0.46
6243d81af938d12b0c632796a4308ed1b6ca65cc	Version du 12/06/1894	113	0.32
a2aaa2d89cfb70d096e16151042eeeff3498836e	Version du 19/12/1871	101	0.28
62b7be19591c8961ec442f2e5098df5d5097dfeb	Version du 15/07/1926	90	0.25
b8acfa90fa6bdc0b80eb3993f2471f8df0e27df8	Version du 24/03/1932	74	0.21
f4b9e52c79f63eb0bdc594f8dba19a364590516d	Version du 03/06/1959	71	0.2
b3ae942de5e1aad10310b30edd319087c0426d77	Version du 28/11/2014	71	0.2
1cdf8a8e036b4ed6aeea1f9f7ca71548eb3d6942	Version du 10/11/1944	47	0.13
bffc7b2ee2bdf8f5d7a1e49a7366e2e4ea3a6785	Version du 26/07/1955	43	0.12
bb58c8842f339e189d1410c9d1446696e182c4ba	Version du 27/05/2009	30	0.08
6adf347dfdb62837060dc7782b364349f8e7a7f1	Version du 16/06/1903	21	0.06
ebe4942ab50cfe417fdd56b37c7a4236e7aff3be	Version du 10/10/1995	16	0.04
9e4bdcde733fa5eeb4e50fd2cb56a59be58d971e	Version du 20/03/1947	14	0.04
b6fe12087b75371b93905fad51584f826ce23063	Version du 22/01/1935	4	0.01
