author	characters	characters %
Junio C Hamano	4287	16.08
Nguyễn Thái Ngọc Duy	3384	12.69
Linus Torvalds	2640	9.9
Johannes Schindelin	2361	8.85
Jeff King	2097	7.86
Jeff Hostetler	2011	7.54
Matthias Lederhofer	900	3.38
Brandon Williams	719	2.7
Tim Schumacher	481	1.8
Andreas Ericsson	388	1.46
Christian Couder	360	1.35
Martin Ågren	356	1.34
Josh Triplett	322	1.21
Daniel Barkalow	316	1.19
Peter Eriksen	299	1.12
Theodore Ts'o	273	1.02
Nazri Ramliy	256	0.96
Lukas Sandström	255	0.96
Alex Riesen	242	0.91
Ralf Thielow	211	0.79
Shawn O. Pearce	206	0.77
Matthias Kestenholz	201	0.75
Scott R Parish	181	0.68
Alexander Kuleshov	172	0.65
Sebastian Schuberth	168	0.63
Adeodato Simó	165	0.62
Avery Pennarun	158	0.59
Philip Oakley	154	0.58
Matthieu Moy	151	0.57
Slavomir Vlcek	147	0.55
Ramsay Allan Jones	142	0.53
Rasmus Villemoes	132	0.5
Erik Faye-Lund	121	0.45
Teemu Likonen	115	0.43
Markus Heidelberg	95	0.36
Paul Tan	91	0.34
René Scharfe	89	0.33
Fredrik Kuivinen	88	0.33
Brian Gernhardt	87	0.33
Jonathan Nieder	80	0.3
Mark Wooding	76	0.29
Johannes Sixt	70	0.26
Ilari Liusvaara	68	0.26
Kristian Høgsberg	67	0.25
Jameson Miller	66	0.25
Rene Scharfe	63	0.24
Pratik Karki	61	0.23
Timo Hirvonen	60	0.23
Franck Bui-Huu	57	0.21
Dennis Kaarsemaker	56	0.21
Shawn Bohrer	53	0.2
Eric Sunshine	52	0.2
Deskin Miller	51	0.19
Scott Chacon	51	0.19
Jon Seymour	49	0.18
Michal Ostrowski	48	0.18
Alexander Shopov	48	0.18
Michael J Gruber	45	0.17
Alan Chandler	44	0.17
Miklos Vajna	41	0.15
Adam Spiers	40	0.15
Kevin Bracey	37	0.14
Carlos Rica	37	0.14
Johan Herland	36	0.14
Greg Brockman	34	0.13
Štěpán Němec	32	0.12
Ryan Anderson	32	0.12
Derrick Stolee	32	0.12
Karthik Nayak	30	0.11
Dmitry V. Levin	30	0.11
James Bowes	30	0.11
Joel Teichroeb	29	0.11
Javier Roucher Iglesias	27	0.1
Tom Prince	27	0.1
Nicolas Pitre	26	0.1
Steve Haslam	25	0.09
Thomas Harning	20	0.08
Thiago Farina	18	0.07
Thomas Rast	18	0.07
Lars Hjemli	12	0.05
Mike Ralphson	11	0.04
Alexander Potashev	9	0.03
Mike Hommey	8	0.03
Luis R. Rodriguez	7	0.03
John Keeping	7	0.03
Alex Henrie	5	0.02
Patrick Reynolds	5	0.02
Stefan Beller	4	0.02
Alban Gruin	4	0.02
Steffen Prohaska	4	0.02
Brandon Casey	2	0.01
